File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF257AUK	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR188XCX	TF ChIP-seq	/human-donors/ENCDO575WHY/	UBERON:0002369	adrenal gland	tissue	Homo sapiens										CTCF-human	DNA						2021-07-23	ENCODE			200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF418GYV/	1547369	ENCODE Processing Pipeline	d67709d7e17662f2394add251bda9b8a		https://www.encodeproject.org/files/ENCFF257AUK/@@download/ENCFF257AUK.bigBed				released	s3://encode-public/2021/04/12/dabd49b4-52ad-4fcf-ac60-5ea551843f6a/ENCFF257AUK.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/04/12/dabd49b4-52ad-4fcf-ac60-5ea551843f6a/ENCFF257AUK.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	antibody characterized with exemption		
ENCFF089TYQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR188XCX	TF ChIP-seq	/human-donors/ENCDO575WHY/	UBERON:0002369	adrenal gland	tissue	Homo sapiens										CTCF-human	DNA						2021-07-23	ENCODE			200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF041HYA/, /files/ENCFF875EYI/, /files/ENCFF350GVO/, /files/ENCFF453WFS/	1968393265	ENCODE Processing Pipeline	1b8105a6003237161a70ce8295fbe345		https://www.encodeproject.org/files/ENCFF089TYQ/@@download/ENCFF089TYQ.bigWig				released	s3://encode-public/2021/04/12/fff39623-e29d-498c-8485-615f3951252d/ENCFF089TYQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/04/12/fff39623-e29d-498c-8485-615f3951252d/ENCFF089TYQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	antibody characterized with exemption		
ENCFF418GYV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR188XCX	TF ChIP-seq	/human-donors/ENCDO575WHY/	UBERON:0002369	adrenal gland	tissue	Homo sapiens										CTCF-human	DNA						2021-07-23	ENCODE			200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF041HYA/, /files/ENCFF356LFX/, /files/ENCFF875EYI/, /files/ENCFF350GVO/, /files/ENCFF453WFS/	738980	ENCODE Processing Pipeline	ce683b5959960034d29246fadf943b15		https://www.encodeproject.org/files/ENCFF418GYV/@@download/ENCFF418GYV.bed.gz				released	s3://encode-public/2021/04/12/7a0da47f-aabb-4fbf-ad5a-ddf25735c8e9/ENCFF418GYV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/04/12/7a0da47f-aabb-4fbf-ad5a-ddf25735c8e9/ENCFF418GYV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	antibody characterized with exemption		
ENCFF430LYD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	dm6	ENCSR661BEZ	TF ChIP-seq	/fly-donors/ENCDO036OWO/	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'dmelanogaster', 'taxon_id': '7227', 'scientific_name': 'Drosophila melanogaster', '@id': '/organisms/dmelanogaster/', 'uuid': 'ab546d43-8e2a-4567-8db7-a217e6d6eea0', 'status': 'released'}, 'genes': ['/genes/38817/'], '@type': ['Target', 'Item'], 'name': 'CTCF-dmelanogaster', 'label': 'CTCF', '@id': '/targets/CTCF-dmelanogaster/', 'title': 'CTCF (Drosophila melanogaster)', 'investigated_as': ['transcription factor'], 'uuid': '367ce7b9-768b-4a3a-8424-39f78336d05f', 'status': 'released'}		dm3 3L 7345433 7363463		CTCF-dmelanogaster	DNA						2017-01-11	modERN		sonication (Bioruptor generic)	200-800	2, 3	2_1, 3_1							/files/ENCFF405IEA/, /files/ENCFF348MMI/, /files/ENCFF826ZIT/	111397	Kevin White, UChicago	6dd913434f8a640b524c1b9e129aca33		https://www.encodeproject.org/files/ENCFF430LYD/@@download/ENCFF430LYD.bed.gz				released	s3://encode-public/2017/10/13/859ce746-30c6-4028-8db0-ca951f319290/ENCFF430LYD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/10/13/859ce746-30c6-4028-8db0-ca951f319290/ENCFF430LYD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom dm6	released	missing biosample characterization, moderate library complexity, mild to moderate bottlenecking, missing genetic modification characterization		
ENCFF842VMZ	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	dm6	ENCSR661BEZ	TF ChIP-seq	/fly-donors/ENCDO036OWO/	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'dmelanogaster', 'taxon_id': '7227', 'scientific_name': 'Drosophila melanogaster', '@id': '/organisms/dmelanogaster/', 'uuid': 'ab546d43-8e2a-4567-8db7-a217e6d6eea0', 'status': 'released'}, 'genes': ['/genes/38817/'], '@type': ['Target', 'Item'], 'name': 'CTCF-dmelanogaster', 'label': 'CTCF', '@id': '/targets/CTCF-dmelanogaster/', 'title': 'CTCF (Drosophila melanogaster)', 'investigated_as': ['transcription factor'], 'uuid': '367ce7b9-768b-4a3a-8424-39f78336d05f', 'status': 'released'}		dm3 3L 7345433 7363463		CTCF-dmelanogaster	DNA						2017-01-11	modERN		sonication (Bioruptor generic)	200-800	2, 3	2_1, 3_1							/files/ENCFF430LYD/	263028	Kevin White, UChicago	85ec9a0f53589acf0840154fd3e58582		https://www.encodeproject.org/files/ENCFF842VMZ/@@download/ENCFF842VMZ.bigBed				released	s3://encode-public/2017/10/13/d2dbde98-3945-4346-8a6e-0d0a70100d20/ENCFF842VMZ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2017/10/13/d2dbde98-3945-4346-8a6e-0d0a70100d20/ENCFF842VMZ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom dm6	released	missing biosample characterization, moderate library complexity, mild to moderate bottlenecking, missing genetic modification characterization		
ENCFF989IYN	bigWig	bigWig		signal p-value	GRCh38	ENCSR776AEL	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF774CGO/, /files/ENCFF346VUJ/	706885134	ENCODE Processing Pipeline	82ebb7378943d73b5246c048b98143b2		https://www.encodeproject.org/files/ENCFF989IYN/@@download/ENCFF989IYN.bigWig				released	s3://encode-public/2020/09/01/987b979a-5cac-4c14-ac16-11fa0f1495fa/ENCFF989IYN.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/987b979a-5cac-4c14-ac16-11fa0f1495fa/ENCFF989IYN.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF698RLK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR776AEL	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF774CGO/, /files/ENCFF346VUJ/, /files/ENCFF356LFX/	737	ENCODE Processing Pipeline	8922b3ca78cdaba80e112be7244c7eb4		https://www.encodeproject.org/files/ENCFF698RLK/@@download/ENCFF698RLK.bed.gz				released	s3://encode-public/2020/09/01/154a4e3a-7819-41c8-92f7-617dc0779827/ENCFF698RLK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/154a4e3a-7819-41c8-92f7-617dc0779827/ENCFF698RLK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF054NXY	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR776AEL	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF698RLK/	15863	ENCODE Processing Pipeline	c27d5ca4024dd46c164c93c7b37e2025		https://www.encodeproject.org/files/ENCFF054NXY/@@download/ENCFF054NXY.bigBed				released	s3://encode-public/2020/09/01/d3f6333e-0498-4d0e-bcde-01dfcfda9644/ENCFF054NXY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/d3f6333e-0498-4d0e-bcde-01dfcfda9644/ENCFF054NXY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF954GDC	bigWig	bigWig		signal p-value	mm10	ENCSR000CCB	TF ChIP-seq	/mouse-donors/ENCDO081AAA/	EFO:0005483	ES-Bruce4	cell line	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document		1	1_1							/files/ENCFF296TCP/, /files/ENCFF301CHB/, /files/ENCFF872QIO/	353883156	ENCODE Processing Pipeline	342c227ed1809715579cf0e63718f585		https://www.encodeproject.org/files/ENCFF954GDC/@@download/ENCFF954GDC.bigWig				released	s3://encode-public/2023/01/12/64e8c343-72ed-442d-b2db-26089783d734/ENCFF954GDC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2023/01/12/64e8c343-72ed-442d-b2db-26089783d734/ENCFF954GDC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 mm10	released	low read length, low read depth		
ENCFF533APC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CCB	TF ChIP-seq	/mouse-donors/ENCDO081AAA/	EFO:0005483	ES-Bruce4	cell line	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document		1	1_1							/files/ENCFF296TCP/, /files/ENCFF301CHB/, /files/ENCFF547MET/, /files/ENCFF872QIO/	553128	ENCODE Processing Pipeline	d2c0c0c2ed1d8e11989362580ca85af7		https://www.encodeproject.org/files/ENCFF533APC/@@download/ENCFF533APC.bed.gz				released	s3://encode-public/2023/01/12/5082d944-7114-48c1-a2c9-adfda8ebb0e8/ENCFF533APC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2023/01/12/5082d944-7114-48c1-a2c9-adfda8ebb0e8/ENCFF533APC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 mm10	released	low read length, low read depth		
