Available,Biosample term name (normalized),wgbs_experiments,ctcf_experiments
YY,A549,ENCSR481JIW,ENCSR000AUE;ENCSR000AUF;ENCSR000BHV;ENCSR000BHW;ENCSR000DNA;ENCSR000DPF;ENCSR000DYD;ENCSR035OXA;ENCSR130TQM;ENCSR173IEA;ENCSR249JOH;ENCSR287UXS;ENCSR336VBV;ENCSR384KPP;ENCSR414CQB;ENCSR432AXE;ENCSR553UWG;ENCSR851SOK;ENCSR876UZD
YY(SEE),B cell,ENCSR284TCU,ENCSR000AUV;ENCSR075NRV
YY,CD14-positive monocyte,ENCSR017BUL,ENCSR000ATN;ENCSR162KZY
YY,GM12878,ENCSR890UQO,ENCSR000AKB;ENCSR000DKV;ENCSR000DRZ;ENCSR000DZN
YY(!),H1,ENCSR482VHG;ENCSR617FKV,ENCSR000AMF;ENCSR000BNH;ENCSR000DLK
YY,H9,ENCSR744UGB,ENCSR871MKQ
YY,HeLa-S3,ENCSR550RTN,ENCSR000AOA;ENCSR000DLO;ENCSR000DUB
YY,HepG2,ENCSR786DCL;ENCSR881XOU,ENCSR000AMA;ENCSR000BIE;ENCSR000DLS;ENCSR000DUG;ENCSR607XFI
YY,IMR-90,ENCSR467QPI;ENCSR888FON,ENCSR000EFI
YY,K562,ENCSR765JPC,ENCSR000AKO;ENCSR000BNK;ENCSR000BPJ;ENCSR000DMA;ENCSR000DWE;ENCSR000EGM
YY(see),SK-N-SH,ENCSR145HNT,ENCSR000BLX;ENCSR000DXQ;ENCSR000EIC;ENCSR541AMF
YY,adrenal gland,ENCSR022QUM;ENCSR042LOG;ENCSR675POY;ENCSR681FHD;ENCSR741FVM,ENCSR014GSQ;ENCSR188XCX;ENCSR408ZEE;ENCSR450BLH;ENCSR770IWO;ENCSR899JSO
YY,body of pancreas,ENCSR344YUA;ENCSR996BJT,ENCSR265PFQ;ENCSR307PFP;ENCSR408XTO;ENCSR484DDO;ENCSR572DUJ;ENCSR585KBH;ENCSR687APM
YY,endodermal cell,ENCSR128BHP;ENCSR457CPG,ENCSR398RET
YY,esophagus muscularis mucosa,ENCSR882FJT,ENCSR073TPC;ENCSR074SFL;ENCSR353DFU;ENCSR443WKD;ENCSR559KAB
YY,esophagus squamous epithelium,ENCSR515MHO;ENCSR853BXB,ENCSR003SZZ;ENCSR266UTR;ENCSR450FRI;ENCSR756URL;ENCSR773JBP;ENCSR838RUX
YY,gastroesophageal sphincter,ENCSR517MZU;ENCSR839GNN,ENCSR146BGM;ENCSR186NVR;ENCSR206ETG;ENCSR298ZPF;ENCSR661XNQ;ENCSR805YLE
YY,heart left ventricle,ENCSR012TGL;ENCSR307KDA;ENCSR579AXB;ENCSR766GKN,ENCSR296JFK;ENCSR350NBQ;ENCSR355PMV;ENCSR461HOC;ENCSR544APK;ENCSR565HBN;ENCSR578AKX;ENCSR718SDR;ENCSR778ZPK;ENCSR791AYW;ENCSR825NXC;ENCSR834XPX;ENCSR881YFU;ENCSR904RIA
YY,heart right ventricle,ENCSR442IUA;ENCSR626YZN,ENCSR089NBS;ENCSR105KGD;ENCSR138FTN;ENCSR323ZAP;ENCSR376EOW;ENCSR473DVS;ENCSR505RTK;ENCSR585JVS;ENCSR587KPW;ENCSR840EYN;ENCSR928RNP
YY,hepatocyte,ENCSR351IPU,ENCSR252QYR
YY,liver,ENCSR713WYJ,ENCSR254YRM
YY,lower leg skin,ENCSR128RMY;ENCSR930WUY,ENCSR252XWG;ENCSR430TEE;ENCSR582MTM;ENCSR727HME
YY,lung,ENCSR556KEJ;ENCSR797TEV,ENCSR000DMH
YY,mammary epithelial cell,ENCSR656TQD,ENCSR000ALV;ENCSR000DUS
YY,natural killer cell,ENCSR334LSM,ENCSR856TKC
YY,ovary,ENCSR305VIT;ENCSR417YFD;ENCSR803SIO,ENCSR493APD;ENCSR548DDS;ENCSR934GQS
YY,pancreas,ENCSR405XVT;ENCSR781LIC,ENCSR000DND;ENCSR113COJ;ENCSR253ALG;ENCSR774PGN;ENCSR852BLA
