nohup: ignoring input
[env] device=cuda cuda=True
[optim] Using AdamW, base lr=0.0003
Epoch 1 It 0/4492 | lr=2.22618e-08 | loss=7643.1890
Epoch 1 It 100/4492 | lr=1.13535e-06 | loss=2918.2354
Epoch 1 It 200/4492 | lr=2.24844e-06 | loss=9195.8457
Epoch 1 It 300/4492 | lr=3.36153e-06 | loss=6768.1553
Epoch 1 It 400/4492 | lr=4.47462e-06 | loss=2982.4170
Epoch 1 It 500/4492 | lr=5.58771e-06 | loss=6973.1465
Epoch 1 It 600/4492 | lr=6.7008e-06 | loss=1425.0270
Epoch 1 It 700/4492 | lr=7.81389e-06 | loss=2531.4199
Epoch 1 It 800/4492 | lr=8.92698e-06 | loss=1860.7841
Epoch 1 It 900/4492 | lr=1.00401e-05 | loss=542.7787
Epoch 1 It 1000/4492 | lr=1.11532e-05 | loss=1550.2091
Epoch 1 It 1100/4492 | lr=1.22663e-05 | loss=4190.5459
Epoch 1 It 1200/4492 | lr=1.33793e-05 | loss=784.6782
Epoch 1 It 1300/4492 | lr=1.44924e-05 | loss=1642.9666
Epoch 1 It 1400/4492 | lr=1.56055e-05 | loss=9717.5527
Epoch 1 It 1500/4492 | lr=1.67186e-05 | loss=4702.7988
Epoch 1 It 1600/4492 | lr=1.78317e-05 | loss=5185.9531
Epoch 1 It 1700/4492 | lr=1.89448e-05 | loss=4881.2373
Epoch 1 It 1800/4492 | lr=2.00579e-05 | loss=665.2538
Epoch 1 It 1900/4492 | lr=2.1171e-05 | loss=467.3754
Epoch 1 It 2000/4492 | lr=2.22841e-05 | loss=4715.0171
Epoch 1 It 2100/4492 | lr=2.33972e-05 | loss=489.3737
Epoch 1 It 2200/4492 | lr=2.45102e-05 | loss=1199.6689
Epoch 1 It 2300/4492 | lr=2.56233e-05 | loss=3276.8054
Epoch 1 It 2400/4492 | lr=2.67364e-05 | loss=683.4071
Epoch 1 It 2500/4492 | lr=2.78495e-05 | loss=1853.7002
Epoch 1 It 2600/4492 | lr=2.89626e-05 | loss=486.0656
Epoch 1 It 2700/4492 | lr=3.00757e-05 | loss=420.2196
Epoch 1 It 2800/4492 | lr=3.11888e-05 | loss=5426.7012
Epoch 1 It 2900/4492 | lr=3.23019e-05 | loss=2032.9438
Epoch 1 It 3000/4492 | lr=3.3415e-05 | loss=857.3314
Epoch 1 It 3100/4492 | lr=3.4528e-05 | loss=8028.7290
Epoch 1 It 3200/4492 | lr=3.56411e-05 | loss=5825.7983
Epoch 1 It 3300/4492 | lr=3.67542e-05 | loss=5734.2251
Epoch 1 It 3400/4492 | lr=3.78673e-05 | loss=10230.0410
Epoch 1 It 3500/4492 | lr=3.89804e-05 | loss=372.9200
Epoch 1 It 3600/4492 | lr=4.00935e-05 | loss=4848.3672
Epoch 1 It 3700/4492 | lr=4.12066e-05 | loss=2082.4592
Epoch 1 It 3800/4492 | lr=4.23197e-05 | loss=370.8185
Epoch 1 It 3900/4492 | lr=4.34328e-05 | loss=1362.1852
Epoch 1 It 4000/4492 | lr=4.45459e-05 | loss=732.4932
Epoch 1 It 4100/4492 | lr=4.56589e-05 | loss=5185.4473
Epoch 1 It 4200/4492 | lr=4.6772e-05 | loss=2267.9468
Epoch 1 It 4300/4492 | lr=4.78851e-05 | loss=3765.9753
Epoch 1 It 4400/4492 | lr=4.89982e-05 | loss=2780.7744
[epoch 1] train_loss=4544.0185 train_mae=21.1288
[ckpt] saved checkpoints_single/ctcf_ep1.pt
Epoch 2 It 0/4492 | lr=5.00223e-05 | loss=5398.0361
Epoch 2 It 100/4492 | lr=5.11354e-05 | loss=5533.4209
Epoch 2 It 200/4492 | lr=5.22484e-05 | loss=2035.6650
Epoch 2 It 300/4492 | lr=5.33615e-05 | loss=5557.2954
Epoch 2 It 400/4492 | lr=5.44746e-05 | loss=5715.4854
Epoch 2 It 500/4492 | lr=5.55877e-05 | loss=4283.5566
Epoch 2 It 600/4492 | lr=5.67008e-05 | loss=1143.7134
Epoch 2 It 700/4492 | lr=5.78139e-05 | loss=10484.8477
Epoch 2 It 800/4492 | lr=5.8927e-05 | loss=4817.3052
Epoch 2 It 900/4492 | lr=6.00401e-05 | loss=6056.3364
Epoch 2 It 1000/4492 | lr=6.11532e-05 | loss=3827.4189
Epoch 2 It 1100/4492 | lr=6.22663e-05 | loss=1205.8081
Epoch 2 It 1200/4492 | lr=6.33793e-05 | loss=2659.6531
Epoch 2 It 1300/4492 | lr=6.44924e-05 | loss=16321.5938
Epoch 2 It 1400/4492 | lr=6.56055e-05 | loss=713.4756
Epoch 2 It 1500/4492 | lr=6.67186e-05 | loss=2549.1028
Epoch 2 It 1600/4492 | lr=6.78317e-05 | loss=720.5298
Epoch 2 It 1700/4492 | lr=6.89448e-05 | loss=2898.7209
Epoch 2 It 1800/4492 | lr=7.00579e-05 | loss=643.1847
Epoch 2 It 1900/4492 | lr=7.1171e-05 | loss=7646.8911
Epoch 2 It 2000/4492 | lr=7.22841e-05 | loss=702.9675
Epoch 2 It 2100/4492 | lr=7.33972e-05 | loss=375.1711
Epoch 2 It 2200/4492 | lr=7.45102e-05 | loss=1694.5725
Epoch 2 It 2300/4492 | lr=7.56233e-05 | loss=696.7156
Epoch 2 It 2400/4492 | lr=7.67364e-05 | loss=20556.0020
Epoch 2 It 2500/4492 | lr=7.78495e-05 | loss=4111.2637
Epoch 2 It 2600/4492 | lr=7.89626e-05 | loss=621.9278
Epoch 2 It 2700/4492 | lr=8.00757e-05 | loss=535.8871
Epoch 2 It 2800/4492 | lr=8.11888e-05 | loss=1904.0602
Epoch 2 It 2900/4492 | lr=8.23019e-05 | loss=678.4166
Epoch 2 It 3000/4492 | lr=8.3415e-05 | loss=532.9214
Epoch 2 It 3100/4492 | lr=8.4528e-05 | loss=3896.9465
Epoch 2 It 3200/4492 | lr=8.56411e-05 | loss=2191.8284
Epoch 2 It 3300/4492 | lr=8.67542e-05 | loss=1510.4070
Epoch 2 It 3400/4492 | lr=8.78673e-05 | loss=449.0415
Epoch 2 It 3500/4492 | lr=8.89804e-05 | loss=5905.3843
Epoch 2 It 3600/4492 | lr=9.00935e-05 | loss=614.0403
Epoch 2 It 3700/4492 | lr=9.12066e-05 | loss=1411.2104
Epoch 2 It 3800/4492 | lr=9.23197e-05 | loss=2936.1597
Epoch 2 It 3900/4492 | lr=9.34328e-05 | loss=692.3532
Epoch 2 It 4000/4492 | lr=9.45459e-05 | loss=771.8622
Epoch 2 It 4100/4492 | lr=9.56589e-05 | loss=4328.7563
Epoch 2 It 4200/4492 | lr=9.6772e-05 | loss=4067.7202
Epoch 2 It 4300/4492 | lr=9.78851e-05 | loss=2125.8835
Epoch 2 It 4400/4492 | lr=9.89982e-05 | loss=2097.8796
[epoch 2] train_loss=4080.6518 train_mae=21.3390
[ckpt] saved checkpoints_single/ctcf_ep2.pt
Epoch 3 It 0/4492 | lr=0.000100022 | loss=4445.0869
Epoch 3 It 100/4492 | lr=0.000101135 | loss=1500.3326
Epoch 3 It 200/4492 | lr=0.000102248 | loss=3744.1328
Epoch 3 It 300/4492 | lr=0.000103362 | loss=5794.7334
Epoch 3 It 400/4492 | lr=0.000104475 | loss=660.2853
Epoch 3 It 500/4492 | lr=0.000105588 | loss=648.6290
Epoch 3 It 600/4492 | lr=0.000106701 | loss=1243.1754
Epoch 3 It 700/4492 | lr=0.000107814 | loss=10181.6455
Epoch 3 It 800/4492 | lr=0.000108927 | loss=4916.6821
Epoch 3 It 900/4492 | lr=0.00011004 | loss=532.8355
Epoch 3 It 1000/4492 | lr=0.000111153 | loss=6052.0781
Epoch 3 It 1100/4492 | lr=0.000112266 | loss=2511.8923
Epoch 3 It 1200/4492 | lr=0.000113379 | loss=2623.0867
Epoch 3 It 1300/4492 | lr=0.000114492 | loss=556.1431
Epoch 3 It 1400/4492 | lr=0.000115606 | loss=3715.6643
Epoch 3 It 1500/4492 | lr=0.000116719 | loss=6122.3638
Epoch 3 It 1600/4492 | lr=0.000117832 | loss=2913.1501
Epoch 3 It 1700/4492 | lr=0.000118945 | loss=11140.9863
Epoch 3 It 1800/4492 | lr=0.000120058 | loss=6181.8198
Epoch 3 It 1900/4492 | lr=0.000121171 | loss=613.0764
Epoch 3 It 2000/4492 | lr=0.000122284 | loss=3445.6509
Epoch 3 It 2100/4492 | lr=0.000123397 | loss=1771.6261
Epoch 3 It 2200/4492 | lr=0.00012451 | loss=1181.5717
Epoch 3 It 2300/4492 | lr=0.000125623 | loss=5947.6807
Epoch 3 It 2400/4492 | lr=0.000126736 | loss=5259.9331
Epoch 3 It 2500/4492 | lr=0.00012785 | loss=2824.1821
Epoch 3 It 2600/4492 | lr=0.000128963 | loss=3087.7395
Epoch 3 It 2700/4492 | lr=0.000130076 | loss=2302.4753
Epoch 3 It 2800/4492 | lr=0.000131189 | loss=385.3214
Epoch 3 It 2900/4492 | lr=0.000132302 | loss=671.3079
Epoch 3 It 3000/4492 | lr=0.000133415 | loss=2379.7097
Epoch 3 It 3100/4492 | lr=0.000134528 | loss=4037.9548
Epoch 3 It 3200/4492 | lr=0.000135641 | loss=1851.6200
Epoch 3 It 3300/4492 | lr=0.000136754 | loss=356.4315
Epoch 3 It 3400/4492 | lr=0.000137867 | loss=1958.3595
Epoch 3 It 3500/4492 | lr=0.00013898 | loss=3114.8025
Epoch 3 It 3600/4492 | lr=0.000140093 | loss=7050.9443
Epoch 3 It 3700/4492 | lr=0.000141207 | loss=1918.1736
Epoch 3 It 3800/4492 | lr=0.00014232 | loss=2564.5598
Epoch 3 It 3900/4492 | lr=0.000143433 | loss=2070.1497
Epoch 3 It 4000/4492 | lr=0.000144546 | loss=2474.2791
Epoch 3 It 4100/4492 | lr=0.000145659 | loss=676.7037
Epoch 3 It 4200/4492 | lr=0.000146772 | loss=7650.1250
Epoch 3 It 4300/4492 | lr=0.000147885 | loss=940.2870
Epoch 3 It 4400/4492 | lr=0.000148998 | loss=564.5742
[epoch 3] train_loss=3112.4124 train_mae=19.2951
[ckpt] saved checkpoints_single/ctcf_ep3.pt
Epoch 4 It 0/4492 | lr=0.000150022 | loss=2879.0662
Epoch 4 It 100/4492 | lr=0.000151135 | loss=2213.0420
Epoch 4 It 200/4492 | lr=0.000152248 | loss=488.8499
