wgbs_experiments	wgbs_id	ctcf_experiments	ctcf_id
ENCSR481JIW	ENCFF990DKJ	ENCSR000AUE	ENCFF680NIF
ENCSR284TCU	ENCFF766QUP	ENCSR000AUV	ENCFF980XEW
ENCSR017BUL	ENCFF034DRC	ENCSR000ATN	ENCFF701ULQ
ENCSR890UQO	ENCFF852XWZ	ENCSR000AKB	ENCFF355CYX
ENCSR482VHG	ENCFF761FMK	ENCSR000AMF	ENCFF767YLK
ENCSR744UGB	ENCFF895EIX	ENCSR871MKQ	ENCFF732DQN
ENCSR550RTN	ENCFF236RUI	ENCSR000AOA	ENCFF586MXO
ENCSR786DCL	ENCFF782HWK	ENCSR000AMA	ENCFF129CNS
ENCSR467QPI	ENCFF984JTL	ENCSR000EFI	ENCFF160QTH
ENCSR765JPC	ENCFF847LQF	ENCSR000AKO	ENCFF834MPG
ENCSR145HNT	ENCFF463DAE	ENCSR000BLX	ENCFF036VYL
ENCSR022QUM	ENCFF501YSK	ENCSR014GSQ	ENCFF091TGN
ENCSR344YUA	ENCFF324PAY	ENCSR265PFQ	ENCFF538HKE
ENCSR128BHP	ENCFF223ROJ	ENCSR398RET	ENCFF023GBA
ENCSR882FJT	ENCFF490OCF	ENCSR073TPC	ENCFF428IRG
ENCSR515MHO	ENCFF471KBH	ENCSR003SZZ	ENCFF473BGI
ENCSR517MZU	ENCFF801XBP	ENCSR146BGM	ENCFF920LYW
ENCSR012TGL	ENCFF284WEI	ENCSR296JFK	ENCFF135DSN
ENCSR442IUA	ENCFF204LYV	ENCSR089NBS	ENCFF834STJ
ENCSR351IPU	ENCFF168ECH	ENCSR252QYR	ENCFF809PJM
ENCSR713WYJ	ENCFF234SHU	ENCSR254YRM	ENCFF589XMT
ENCSR128RMY	ENCFF395FJR	ENCSR252XWG	ENCFF047IFE
ENCSR556KEJ	ENCFF677UMI	ENCSR000DMH	ENCFF882BBW
ENCSR656TQD	ENCFF629ZHV	ENCSR000ALV	ENCFF086QJQ
ENCSR334LSM	ENCFF420DJX	ENCSR856TKC	ENCFF749JPM
ENCSR305VIT	ENCFF358FEZ	ENCSR493APD	ENCFF235TEI
ENCSR405XVT	ENCFF039RXA	ENCSR000DND	ENCFF813CLH
ENCSR739XWV	ENCFF332THG	ENCSR291YNH	ENCFF626ZBM
ENCSR779PPR	ENCFF804QRE	ENCSR230ORT	ENCFF149VFA
ENCSR141JKC	ENCFF114JUE	ENCSR984IUE	ENCFF453YHM
ENCSR108ESU	ENCFF261UHTO	ENCSR000VGD	ENCFF886EVS
ENCSR331PWE	ENCFF597BZF	ENCSR222SQE	ENCFF092CCA
ENCSR328TBS	ENCFF179DIH	ENCSR000ANE	ENCFF316INV
ENCSR076OHG	0	ENCSR261VAS	0
ENCSR317JGM	0	ENCSR000DNI	0
ENCSR129YRJ	0	ENCSR037GKL	0
ENCSR166VVF	0	ENCSR038FOS	0
ENCSR011HZJ	0	ENCSR494TNM	0
ENCSR403DTW	0	ENCSR033KMZ	0
ENCSR658MZU	0	ENCSR434XLP	0
ENCSR156JXJ	0	ENCSR102CSD	0
ENCSR224CTR	0	ENCSR027FSZ	0
